Actual_Time_Spent_hrs,Issue_Type,Priority,Severity,Story_Points,Epic_Size,Number_of_Subtasks,Number_of_Linked_Issues,Number_of_Comments,Number_of_Attachments,Number_of_Description_Edits,Complexity,Average_Historical_Hours,Assignee_Experience_yrs,Team_Velocity,Team_Size
17.9,Bug,Medium,Minor,8,19,4,0,6,1,4,Medium,6.4,6.3,43,7
11.8,Task,Medium,Minor,3,42,3,5,10,0,3,Medium,24.3,9.6,54,10
11,Story,Medium,Minor,5,82,1,3,6,1,4,Low,21.9,6.9,43,11
11,Story,Low,Minor,8,18,1,2,6,1,2,Very High,15.5,4.7,45,11
32.5,Bug,Low,Minor,2,61,1,1,7,0,2,Low,3.5,9.9,41,5
21,Task,High,Minor,3,63,2,1,8,1,5,Medium,23.9,4,46,11
9.3,Task,Low,Blocker,8,117,0,1,9,2,3,Low,11.1,2,38,9
18.4,Bug,High,Trivial,8,12,4,0,15,2,5,Low,8.7,6.4,56,7
15.3,Story,Critical,Major,13,76,0,1,8,2,3,Medium,4.9,3,55,9
2.4,Bug,Medium,Minor,8,23,2,0,5,0,5,Very High,10.4,9.3,48,8
5.9,Task,Medium,Minor,1,36,2,3,6,0,5,High,17.4,4.6,59,5
16,Story,Medium,Trivial,8,99,1,4,12,0,2,Low,12.4,1.9,58,5
30.7,Task,High,Minor,3,33,1,1,10,0,2,Medium,12.8,1.8,31,7
11.1,Bug,Critical,Major,13,45,3,0,4,1,3,Low,9.9,6.7,35,8
8.8,Task,High,Blocker,3,79,2,1,5,0,2,Medium,19.6,4,50,9
14,Task,Low,Minor,3,49,5,0,14,0,3,Low,11.2,4,34,7
8.4,Story,High,Minor,3,17,1,1,5,1,2,High,5.1,6.3,52,6
10.6,Task,Medium,Minor,2,31,4,2,15,1,3,Low,6,2.6,34,7
12.9,Story,Medium,Blocker,1,23,2,0,7,1,1,Low,9.3,1.9,51,11
5.7,Bug,Low,Major,8,30,2,0,8,0,3,High,8,6.7,41,6
21.7,Story,Low,Major,8,57,2,0,5,0,4,Very High,18.1,0.5,25,5
4.9,Story,High,Major,1,55,4,0,6,0,5,Low,13,9.1,49,11
4.4,Story,Medium,Major,5,41,0,0,13,1,4,Low,9.4,2.2,36,7
14.8,Bug,Medium,Trivial,5,116,1,1,10,0,1,High,5.6,4.8,21,7
20.7,Story,Medium,Minor,3,13,1,4,5,1,0,Medium,7.6,2.5,35,5
14.6,Bug,High,Blocker,2,96,3,2,11,1,4,Very High,6.9,2.6,31,9
12,Story,High,Major,8,100,1,2,6,4,5,Medium,15.2,8.4,31,10
10.5,Story,Medium,Major,5,56,1,3,10,1,3,Low,0.9,6.1,58,7
9.3,Story,Low,Major,3,58,3,2,4,1,3,Low,5.5,3.5,36,8
24.7,Bug,Medium,Minor,5,7,2,2,6,0,5,Medium,3.3,2.9,25,10
16.1,Story,Critical,Major,1,119,6,3,9,1,3,High,5.4,2.5,45,5
9.9,Bug,Medium,Major,3,100,4,1,10,2,4,High,12.7,5.8,20,9
7.9,Bug,Medium,Minor,2,73,1,1,6,1,2,Very High,13,7.4,35,10
19.2,Task,Medium,Major,2,12,1,2,6,4,0,Low,12.1,2.9,59,5
24.4,Task,Medium,Blocker,5,18,1,0,3,1,3,High,3.1,3.7,35,11
23.1,Story,High,Minor,8,7,2,0,13,1,3,High,10,7.3,35,5
6.9,Task,Medium,Minor,3,28,2,3,10,2,0,High,20.5,7.5,58,9
10.5,Task,Low,Minor,2,17,7,1,8,0,1,Medium,7.5,2.5,48,10
9.2,Task,Low,Major,5,47,3,0,14,0,6,Medium,8.4,4.1,45,9
11.4,Bug,Medium,Minor,8,33,1,2,7,1,1,Medium,5.9,8.8,49,9
21.6,Task,Critical,Major,5,76,1,3,12,0,3,Medium,9.2,7.5,52,10
29,Story,Medium,Blocker,8,55,1,4,9,1,3,Low,9.8,2,39,11
16.5,Bug,High,Minor,3,46,1,1,12,1,5,Medium,9.3,4.2,56,10
8.1,Bug,High,Blocker,5,35,2,2,3,1,5,High,8.7,9.7,32,11
12.7,Story,Medium,Blocker,1,67,2,0,7,0,2,Low,1.2,5.5,27,11
32.3,Bug,Low,Trivial,2,30,1,1,7,0,3,Medium,29.6,7.3,51,8
13.8,Bug,Low,Minor,3,22,3,2,8,1,3,Medium,21.7,1.4,37,6
10.5,Bug,High,Blocker,3,86,1,5,8,1,4,High,14.1,8.4,30,10
11.2,Task,Low,Blocker,8,61,0,1,9,1,1,Medium,8.3,6.2,57,10
16.4,Task,Medium,Trivial,8,11,2,2,7,2,2,Medium,17.1,2.2,33,5
7.1,Bug,Medium,Trivial,1,116,5,2,4,1,7,Medium,13.7,4.1,59,11
